User_ID,Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score
U1,57,Female,6.5,3.0,Non-Vegetarian,6.5,Medium,41,583.33,65.0,36.71
U2,39,Female,,9.0,Non-Vegetarian,10.8,High,214,368.24,58.0,54.35
U3,26,Male,8.2,6.0,Vegetarian,5.7,Low,429,445.21,49.0,32.57
U4,32,Male,7.8,9.0,Vegetarian,8.3,Low,464,286.33,94.0,70.15
U5,50,Male,9.7,2.0,Non-Vegetarian,11.3,Medium,365,237.65,62.0,87.54
U6,36,Female,7.4,10.0,Vegan,6.6,Low,381,453.43,70.0,31.71
U7,48,Male,6.7,2.0,Vegan,1.4,Low,39,407.13,51.0,59.17
U8,35,Female,6.0,,Vegan,6.8,Medium,2,298.46,60.0,85.02
U9,29,Male,5.1,6.0,Non-Vegetarian,10.2,Low,244,380.08,82.0,50.67
U10,57,Female,7.9,9.0,Non-Vegetarian,9.1,High,355,417.96,54.0,44.39
U11,54,Female,7.3,8.0,Vegetarian,11.7,High,50,490.61,69.0,42.78
U12,18,Female,7.6,1.0,Vegan,2.6,Low,2,221.63,84.0,100.0
U13,51,Male,9.5,,Non-Vegetarian,5.5,Low,30,384.25,72.0,67.11
U14,24,Female,9.3,1.0,Non-Vegetarian,3.5,High,342,342.53,74.0,94.42
U15,19,Male,6.0,2.0,Non-Vegetarian,6.1,Medium,67,559.14,44.0,31.32
U16,39,Female,4.6,3.0,Vegan,8.7,Medium,405,488.88,,52.07
U17,21,Male,6.3,6.0,Vegetarian,3.1,Medium,158,433.19,75.0,63.09
U18,37,Male,7.5,7.0,Non-Vegetarian,4.8,Medium,147,454.81,79.0,59.56
U19,20,Female,5.7,,Vegetarian,5.6,Low,207,400.35,60.0,43.13
U20,26,Male,5.8,2.0,Non-Vegetarian,10.7,High,497,491.49,47.0,33.2
U21,35,Female,8.7,8.0,Non-Vegetarian,4.0,High,281,360.05,48.0,63.77
U22,33,Male,8.4,5.0,Non-Vegetarian,9.4,Low,100,546.35,68.0,28.64
U23,26,Male,8.2,1.0,Non-Vegetarian,11.0,Medium,283,437.39,42.0,45.34
U24,36,Male,6.7,3.0,Non-Vegetarian,7.5,Medium,127,417.94,99.0,78.45
U25,23,Male,6.7,7.0,Vegetarian,11.6,Medium,178,242.71,64.0,74.99
U26,32,Female,4.1,6.0,Vegan,4.9,Medium,492,493.84,95.0,49.2
U27,23,Male,6.9,5.0,Non-Vegetarian,8.5,Medium,54,411.75,40.0,46.34
U28,22,Female,4.1,6.0,Vegetarian,2.2,High,218,549.06,73.0,43.53
U29,46,Female,7.3,8.0,Vegetarian,5.0,High,459,452.06,83.0,58.08
U30,44,Female,4.1,3.0,Non-Vegetarian,10.4,Medium,332,515.78,40.0,19.0
U31,58,Male,7.4,9.0,Non-Vegetarian,1.3,Low,8,406.82,94.0,68.89
U32,43,Male,5.2,3.0,Vegetarian,10.9,Medium,156,301.99,98.0,88.6
U33,45,Male,9.4,,Non-Vegetarian,10.3,Medium,63,424.84,78.0,55.28
U34,49,Female,8.2,1.0,Non-Vegetarian,10.2,Medium,305,291.0,46.0,72.5
U35,42,Male,6.8,10.0,Non-Vegetarian,5.2,Medium,36,520.81,51.0,28.78
U36,24,Female,7.4,9.0,Non-Vegetarian,11.9,High,86,204.58,71.0,88.63
U37,47,Male,6.7,9.0,Non-Vegetarian,10.8,Medium,161,432.87,89.0,53.34
U38,48,Female,6.0,9.0,Non-Vegetarian,3.7,High,413,281.06,77.0,81.85
U39,29,Female,4.8,7.0,Vegan,3.2,Low,400,592.28,93.0,25.59
U40,26,Male,8.6,10.0,Non-Vegetarian,4.1,Medium,414,387.22,79.0,62.73
U41,51,Female,6.6,4.0,Non-Vegetarian,9.8,High,279,397.59,61.0,59.16
U42,20,Male,9.1,8.0,Non-Vegetarian,5.1,Medium,36,266.77,99.0,100.0
U43,54,Female,8.4,7.0,Vegetarian,1.6,High,208,379.94,68.0,76.92
U44,45,Male,6.3,5.0,Vegan,4.9,Medium,85,415.82,88.0,73.25
U45,39,Male,8.2,,Non-Vegetarian,5.8,Low,72,420.7,96.0,73.14
U46,43,Female,8.1,3.0,Vegetarian,4.4,High,262,562.71,86.0,57.57
U47,36,Male,7.1,5.0,Vegetarian,4.6,Low,28,395.34,67.0,59.35
U48,38,Male,8.3,9.0,Non-Vegetarian,11.6,Medium,162,551.36,56.0,19.07
U49,54,Male,5.8,2.0,Non-Vegetarian,10.8,Low,477,308.88,73.0,61.88
U50,27,Male,6.4,1.0,Vegetarian,7.2,Low,5,437.17,69.0,56.54
U51,33,Female,4.2,1.0,Non-Vegetarian,4.7,Low,12,422.67,40.0,43.66
U52,41,Male,5.2,8.0,Non-Vegetarian,7.1,Low,170,523.12,65.0,20.66
U53,42,Male,8.4,,Non-Vegetarian,5.6,Low,272,507.76,87.0,50.83
U54,43,Female,8.7,7.0,Non-Vegetarian,4.0,High,143,326.48,83.0,91.63
U55,18,Male,9.0,8.0,Non-Vegetarian,9.5,Medium,185,568.22,47.0,17.85
U56,21,Female,9.9,10.0,Vegetarian,1.7,Low,407,483.88,82.0,44.46
U57,54,Other,9.5,2.0,Vegan,8.6,Medium,172,222.41,81.0,100.0
U58,31,Male,6.7,8.0,Vegetarian,5.6,Low,144,509.8,82.0,37.15
U59,41,Female,9.7,2.0,Non-Vegetarian,3.5,Low,22,417.42,81.0,75.64
U60,44,Male,,4.0,Non-Vegetarian,10.6,Low,101,486.32,84.0,45.03
U61,44,Female,4.7,3.0,Vegan,3.6,High,241,348.77,91.0,90.55
U62,41,Male,8.7,10.0,Non-Vegetarian,11.3,Medium,278,344.46,94.0,69.48
U63,57,Female,7.3,7.0,Non-Vegetarian,11.6,High,491,415.19,91.0,59.68
U64,18,Male,6.3,5.0,Non-Vegetarian,4.2,Medium,141,253.58,68.0,90.22
U65,56,Male,8.5,1.0,Non-Vegetarian,5.9,Medium,291,200.1,80.0,100.0
U66,30,Male,7.5,7.0,Vegetarian,2.2,High,65,538.84,97.0,65.09
U67,37,Male,9.0,8.0,Vegetarian,4.5,Medium,230,326.89,52.0,67.17
U68,55,Female,8.0,4.0,Non-Vegetarian,3.4,Medium,319,248.59,99.0,100.0
U69,53,Female,8.5,9.0,Vegan,8.0,Medium,46,576.36,80.0,35.02
U70,29,Other,6.3,7.0,Non-Vegetarian,11.0,Medium,246,494.38,75.0,37.28
U71,22,Male,8.9,2.0,Non-Vegetarian,1.8,Low,10,254.46,78.0,100.0
U72,22,Male,4.5,7.0,Non-Vegetarian,3.0,Medium,84,585.6,59.0,25.72
U73,34,Other,8.7,6.0,Vegetarian,9.5,Medium,69,215.99,70.0,93.77
U74,55,Male,9.6,7.0,Non-Vegetarian,11.1,Low,90,471.42,45.0,25.68
U75,27,Female,5.6,8.0,Non-Vegetarian,9.2,Medium,68,394.28,83.0,60.83
U76,33,Female,9.1,10.0,Non-Vegetarian,5.7,Low,12,353.15,44.0,47.55
U77,41,Male,6.9,2.0,Vegetarian,8.4,Low,319,262.23,62.0,73.11
U78,46,Female,9.9,2.0,Non-Vegetarian,1.3,High,211,583.79,95.0,69.83
U79,31,Female,9.4,7.0,Non-Vegetarian,9.7,Medium,315,368.83,84.0,69.48
U80,27,Male,9.1,5.0,Non-Vegetarian,4.4,High,116,242.94,75.0,100.0
U81,46,Female,7.5,9.0,Vegan,9.8,Low,379,232.74,43.0,52.43
U82,45,Female,10.0,1.0,Non-Vegetarian,2.7,High,381,273.26,94.0,100.0
U83,34,Female,4.7,6.0,Non-Vegetarian,2.4,Medium,420,498.98,70.0,42.24
U84,22,Male,5.7,9.0,Vegan,5.2,Low,243,578.18,44.0,1.38
U85,19,Male,9.2,3.0,Vegetarian,2.3,Medium,449,485.16,83.0,65.61
